mode_index,eigenvalue,degeneracy,ratio
0,9.429937633274891,1,2.1224816778953275
1,14.146892385689606,2,3.18416950943877
2,14.14689238569019,2,3.1841695094389015
3,14.419901574593737,1,3.245618166246572
4,14.496860076295027,1,3.262939914933741
5,15.082398463553568,2,3.3947323558800364
6,15.08239846355671,2,3.394732355880744
7,17.655880195442588,1,3.97396925401802
8,18.91135324147078,1,4.25654997097668
9,19.456338349388787,2,4.3792147171569855
10,19.45633834938884,2,4.379214717156998
11,20.020976989632533,1,4.506303062293037
12,20.59719326947988,1,4.635997291888517
13,21.34431339025423,1,4.80415840060412
14,21.636071076328918,2,4.869826951888441
15,21.636071076328985,2,4.869826951888457
16,23.321870689728932,1,5.249265176317285
17,23.58066069925237,1,5.307513393325386
18,24.87551451766684,2,5.598957898264605
19,24.875514517667536,2,5.598957898264762
