mode_index,eigenvalue,degeneracy,ratio
0,9.444377655042338,1,2.1257318246960515
1,14.180873579625148,2,3.191817965274437
2,14.180873579628388,2,3.191817965275167
3,14.456099695774268,1,3.253765606024838
4,14.532043112511037,1,3.2708588803230456
5,15.107520511637606,2,3.400386803326372
6,15.107520511640459,2,3.4003868033270144
7,17.688520119443357,1,3.981315818052024
8,18.950101625527065,1,4.2652714215743295
9,19.49691888331128,2,4.3883485463591825
10,19.49691888331305,2,4.388348546359581
11,20.06091528409812,1,4.515292336829751
12,20.636108824475183,1,4.644756369167162
13,21.378948267941645,1,4.811953986976642
14,21.67744012202332,2,4.879138258594071
15,21.677440122023913,2,4.879138258594204
16,23.364992758622886,1,5.258971051870205
17,23.62333642313349,1,5.317118805953884
18,24.926026877861894,1,5.610327173777409
19,25.784125448625062,1,5.8034672098097015
