T,E_1,M_1,E_2,M_2,E_3,M_3
10.0,-36.0,0.02375,12.0,0.00125,-60.0,0.00875
10.0,-400.0,0.03625,-332.0,-0.01125,-392.0,-0.0475
9.6,-400.0,0.03625,-408.0,-0.03125,-392.0,-0.0475
9.216,-416.0,-0.055,-408.0,-0.03125,-392.0,-0.0475
8.847359999999998,-416.0,-0.055,-408.0,-0.03125,-416.0,0.0325
8.493465599999999,-416.0,-0.055,-408.0,-0.03125,-412.0,-0.02375
8.153726975999998,-412.0,-0.0125,-408.0,-0.03125,-412.0,-0.02375
7.827577896959998,-412.0,-0.0125,-408.0,-0.03125,-412.0,-0.02375
7.5144747810815975,-432.0,0.0025,-444.0,-0.0325,-556.0,-0.00125
7.213895789838333,-432.0,0.0025,-460.0,0.015,-556.0,-0.00125
6.9253399582448,-512.0,0.03375,-464.0,-0.0025,-556.0,-0.00125
6.648326359915008,-512.0,0.03375,-464.0,-0.0025,-588.0,-0.04125
6.3823933055184074,-512.0,0.03375,-472.0,-0.0575,-588.0,-0.04125
6.127097573297671,-580.0,-0.01375,-564.0,0.0125,-588.0,-0.04125
5.8820136703657635,-592.0,0.01375,-564.0,0.0125,-672.0,-0.01375
5.646733123551133,-592.0,0.01375,-620.0,0.03,-672.0,-0.01375
5.420863798609088,-592.0,0.01375,-672.0,0.00125,-784.0,-0.03625
5.204029246664724,-704.0,-0.0175,-672.0,0.00125,-784.0,-0.03625
4.995868076798136,-736.0,0.06625,-764.0,-0.07375,-784.0,-0.03625
4.79603335372621,-756.0,0.005,-764.0,-0.07375,-784.0,-0.03625
4.6041920195771615,-756.0,0.005,-768.0,0.02875,-836.0,-0.005
4.420024338794075,-784.0,0.0425,-796.0,0.03625,-864.0,0.0175
4.243223365242312,-848.0,0.0425,-860.0,0.04,-864.0,0.0175
4.0734944306326195,-848.0,0.0425,-860.0,0.04,-892.0,0.01625
3.910554653407315,-932.0,0.04625,-868.0,-0.11,-892.0,0.01625
3.754132467271022,-972.0,-0.035,-1104.0,-0.11375,-928.0,-0.04875
3.6039671685801813,-1068.0,-0.035,-1104.0,-0.11375,-968.0,0.04125
