T,E,M,C
1.0,-3195.4039694341163,0.9992672926224057,38.731049006804824
1.02,-3194.8716723415896,0.9991856952172827,38.44936123717203
1.04,-3193.7072539216097,-0.9989922729576208,46.64181174707637
1.06,-3193.067820500595,0.9988922766428161,49.141948481033005
1.08,-3191.7876161617255,0.9986818613650376,61.26853882524201
1.1,-3190.3060061186734,0.998438229882061,65.19780549382375
1.12,-3188.557223170009,0.9981589706812528,77.71162968811969
1.14,-3187.6768704239557,-0.9980168720521039,80.03701285334984
1.16,-3186.179810043802,-0.9977651768623039,85.72729271349324
1.18,-3183.552924608401,-0.9973201328044415,105.71446847780594
1.2,-3181.485495946077,-0.9969877724389868,108.33738868176523
1.22,-3179.381981519058,-0.9966262266807301,110.94219396824408
1.24,-2950.9583031612315,-0.1154771229535195,200.81342699231035
1.26,-3175.1119287478955,-0.9959205903932581,133.21923320086634
1.28,-3171.611962685004,0.9952969715607028,149.25213020887895
1.3,-3167.684232486266,-0.994628845147264,160.03269110337868
1.32,-3164.706839597402,-0.994114814547235,172.6877924704392
1.34,-3160.4145090924385,-0.9933873669009506,194.0533970873724
1.36,-3157.9294899315055,0.9929678646812972,200.0346737909759
1.38,-3153.4396712722587,-0.9922354565956873,215.31400721359003
1.4,-3150.085940418097,0.9916175992639603,221.524334899435
1.42,-3143.574925848459,0.9904285882037941,246.66236963864299
1.44,-3139.089221282856,0.9896361681714892,254.51059560083073
1.46,-3133.4338249286593,0.9886069743464607,269.771863298858
1.48,-3128.5525993951283,0.9877828345688799,292.7906768642423
1.5,-3120.3793960527187,0.9862294961567786,338.6959525487489
1.52,-3114.1458746009266,0.9850623068655813,322.13527333556345
1.54,-3108.8059126354724,0.9840258660104659,345.99475993126566
1.56,-3103.276597428025,0.9831491346453738,373.2913927403802
1.58,-3092.628428636923,0.9810756985943375,413.7152276379264
1.6,-3085.5612568972488,0.9794292600752613,413.6729405508958
1.62,-3078.9201270372155,0.9785515819064826,419.8450801746158
1.64,-3066.675736549766,0.9757821061702662,486.0576449761557
1.66,-3054.7145039706415,0.9735849568665598,515.9292670337508
1.68,-3050.1760174157744,0.9728845032752432,553.4711850815255
1.7,-3038.4642821302177,0.9705845016304386,533.6027865198193
1.72,-3028.0724263700076,0.9682455873430824,543.3383007259841
1.74,-3018.3561514236303,0.9664455995437853,540.8654699590776
1.76,-2999.672253311575,-0.9623010343322781,629.5036383230319
1.78,-2988.7324036092427,0.9597245982824908,727.8024905634364
1.8,-2974.942954427252,0.9570600808619276,744.648933071459
1.82,-2958.5341967377904,0.9529288635524199,720.3511580269949
1.84,-2942.3975621913128,0.9498740506458252,803.2300190938265
1.86,-2927.407866996516,0.9457506867579902,817.1855768686098
1.88,-2910.761073178816,-0.94193628901258,864.5852360582032
1.9,-2896.784102942285,0.9381516242341768,864.2203548345251
1.92,-2874.841289676748,0.9328404906972764,862.4726424070811
1.94,-2857.0107911676905,-0.9286600333499758,1075.6044863557029
1.96,-2835.0126808192044,-0.9221175818789998,1113.9130352746877
1.98,-2812.5417211985337,-0.9154083810500183,1075.9520335261677
2.0,-2780.0962914443926,-0.9058570134886473,1225.7605611220933
2.02,-2759.926844086261,-0.9005703287235775,1283.649031917856
2.04,-2745.8936023761808,0.8971361858687545,1172.4240931570664
2.06,-2716.638792155406,-0.8884412967140135,1329.9635000364851
2.08,-2687.021546940851,0.8814980760990733,1327.8109259070698
2.1,-2658.0883106024107,0.8669969193225404,1416.2376758720632
2.12,-2629.9917709798997,-0.855682626199198,1599.4319822296072
2.14,-2603.8279192888112,-0.8528610851088547,1540.5139969935558
2.16,-2569.882329426471,-0.8334906392918427,2054.682041504058
2.18,-2542.7717515004156,0.8280605988712894,1536.5435865927336
2.2,-2466.283203713011,0.7792018955020215,2465.8644148377575
2.22,-2430.9521070363908,-0.7588078273754623,2344.2609737661674
2.24,-2413.855106452173,-0.7710875869924685,2571.9487469517358
2.26,-2330.569203177513,-0.6840758024876941,2929.0856513546228
2.28,-2187.245120447587,0.21795451313574304,3373.9151115164555
2.3,-2198.2511154482136,-0.5606165315983628,3419.058743058854
2.32,-2138.2287710894143,0.4803202065083463,3366.7412847856353
2.34,-2098.6255346135604,0.4874308479363532,2161.725526499203
2.36,-2056.7717939738523,0.4236894430816394,2685.7881703202597
2.38,-1976.0890043352053,0.21711877956744546,2214.090662120903
2.4,-1947.9075011836346,-0.07924956933184703,1658.2034663977133
2.42,-1873.5044724112129,0.026128248541224836,1537.129467167768
2.44,-1874.9381707523753,0.016823213898307765,1605.6495736515255
2.46,-1814.3751412137658,0.040605661313486856,1294.4101586429
2.48,-1800.7285909937161,-0.030820999033521108,1420.044110058745
2.5,-1769.2651720736324,-0.049018492496984166,1308.1950242623686
