T,E,M,C
1.0,-1797.5881098127193,0.9993195746391932,20.601672577206045
1.02,-1796.9026585995866,0.9991204676216375,24.316824669797533
1.04,-1796.441130269234,-0.9989907764280845,26.270853317295852
1.06,-1795.9771750076397,-0.9988577260065329,30.650235057303505
1.08,-1795.0303403401108,0.9985842194057651,34.56705409298243
1.1,-1794.557304804066,-0.998440492788717,37.92720866882173
1.12,-1793.5867957182422,-0.9981522223562294,39.70999833265003
1.14,-1792.7182798976842,0.9978930685215915,44.74816140502339
1.16,-1792.4114684339856,0.9978110921774298,44.52510075488623
1.18,-1790.8240038298159,-0.9973577378041152,57.39048860077039
1.2,-1789.7299343470704,0.9970589967089265,58.94684238398137
1.22,-1788.5735400861709,-0.996691582996321,66.00482025662039
1.24,-1787.180496351834,-0.9962642227666374,68.91629092008142
1.26,-1785.165450857972,0.9956645273991245,77.3930434790142
1.28,-1784.6014675534832,-0.9955154585736729,77.07558296061734
1.3,-1782.1325296836628,-0.9947435316568598,92.02749281487917
1.32,-1779.914205020936,-0.993999618037854,101.54893831275078
1.34,-1778.0495108771654,0.9934726549715217,111.73082621639278
1.36,-1777.0375071864541,-0.9931612415463336,111.24636039815988
1.38,-1774.4064858257595,-0.9923871803769785,114.6179322134062
1.4,-1771.4644828231721,0.9914400605943566,119.49316789562418
1.42,-1769.5536977035163,-0.9909084886606325,126.56293754589475
1.44,-1766.4638590722464,0.9898997550789005,140.01082674709593
1.46,-1762.6209229589915,0.9886951684748211,155.5610546774671
1.48,-1759.4632397608289,-0.9876362388517987,165.35031375045963
1.5,-1756.0739681287694,0.9864508375009219,175.62387746965717
1.52,-1752.0498349612765,0.985300896312076,189.4644857567675
1.54,-1749.9739859607946,-0.9846098325738077,203.60600267776326
1.56,-1742.9005587121283,0.9818638683952141,209.47670180826304
1.58,-1741.8882383364867,-0.9818119245030362,210.18987256689465
1.6,-1735.578690655797,0.9798767559591564,232.61039324825103
1.62,-1730.7409583862684,-0.9780949691408951,240.53378698577586
1.64,-1726.1237512957814,-0.9762973086138219,256.3005635580093
1.66,-1718.976986328534,-0.9739125855869389,264.14738217440913
1.68,-1714.5591072444638,0.9724271359522979,292.7929099254277
1.7,-1706.1866088149397,0.9692613258230005,309.83210644317364
1.72,-1704.3125265908054,-0.9688543232055815,289.6813172814293
1.74,-1694.832646072774,0.9652201613859946,363.7895592015428
1.76,-1687.2779258024966,-0.9621500637686048,362.0782907675059
1.78,-1676.5687246994269,0.9581747421734963,379.51538589797826
1.8,-1672.6190213695736,-0.956835048175654,381.2569204078309
1.82,-1665.0164994328527,0.9533270982904688,405.0435052693212
1.84,-1653.505946351501,-0.9468245240744263,462.4238121350796
1.86,-1650.226114520078,-0.9479920029655917,426.9325214468344
1.88,-1636.3004511280421,-0.9414265143389132,518.3463318951891
1.9,-1626.4298021237128,0.9364550279035433,493.10654710895716
1.92,-1619.938110293666,0.9355643786673731,443.441030308678
1.94,-1601.7676109747606,0.9249565170708552,603.9362411127428
1.96,-1596.8436101786087,0.9237457052894852,576.9501204178118
1.98,-1580.4987550878616,-0.9148940342790883,639.1292083367523
2.0,-1569.8928021510899,-0.9111903530469703,656.7761284286389
2.02,-1556.0621412784749,0.8993113730585475,754.5122538302999
2.04,-1537.3540618911861,0.8913427843889459,789.7836453364056
2.06,-1526.656243687574,0.8907773340735802,649.5361887459087
2.08,-1511.4875889843959,0.8695693438464182,951.6625432418135
2.1,-1489.9917143975476,0.862804917561207,892.6204394985226
2.12,-1476.884415179863,0.8555691815577232,854.5919042444308
2.14,-1445.7788873260174,0.8181423058099436,1354.9275608096239
2.16,-1449.8537788725278,-0.8358518795850769,956.8366404878778
2.18,-1403.4244532560465,-0.7893131233758287,1208.4833382108343
2.2,-1369.1117535244148,-0.739586591336431,1731.5163209790474
2.22,-1380.9216271390105,-0.7844628897795858,1205.991766139762
2.24,-1304.7994104332886,-0.6803571535154863,1581.9890939839788
2.26,-1323.9134532641856,0.7314435990469527,1465.2626154523389
2.28,-1267.435256059744,-0.6296978182858253,1646.9097143243723
2.3,-1262.9525601534885,-0.6361187861167366,1481.4085217563804
2.32,-1187.0390358571692,-0.47976497900400283,1454.496307239806
2.34,-1162.1964970799133,0.1509022832144902,1601.382932220337
2.36,-1154.7660475278967,-0.4503015980010374,1325.9527779580114
2.38,-1109.8045032893058,0.07018645852936027,1239.1125318970069
2.4,-1073.8721288404522,0.1505284470131111,787.0925571264605
2.42,-1065.909509500918,-0.16922251136575803,1227.0999269916883
2.44,-1037.2360331216921,-0.07930456581238196,820.7022665422494
2.46,-1044.0196019092846,-0.12991625031888412,994.9751710471103
2.48,-1019.3670888885765,-0.06579602152635394,832.5730164152095
2.5,-996.8884580921509,0.08348022268902831,824.4575255711935
2.52,-973.9304639804188,-0.037981585741417224,751.971382289788
2.54,-968.8090915212049,-0.05347118828949771,784.3329122610477
2.56,-951.9102834552102,0.02292175226737613,841.0833821033492
2.58,-934.3828291654983,-0.01891388249887429,600.4023018943815
2.6,-943.3106065034358,0.11869987682008538,725.7675113188468
2.62,-915.3760537358093,0.04597551084970629,607.5753357349465
2.64,-894.7959994110253,-0.04101853996244011,572.5495413141871
2.66,-889.1117653631037,-0.06717475360111955,555.3888510947965
2.68,-869.1440731453399,0.010909621557397624,487.3032616118364
2.7,-866.3589446104738,-0.030035082803819193,528.372541316788
2.72,-858.3459457299699,0.030214628032091725,549.507054927974
2.74,-840.2507552713613,0.005767396562949061,496.5461613446515
2.76,-831.2795033078037,-0.007884238010593818,460.91353682047725
2.78,-825.3723585850103,0.010513993946976977,460.96098232916273
2.8,-812.3816053410245,0.002682974131889082,459.41101771643355
2.82,-812.1079629241858,0.011352380304071789,446.9377156536232
2.84,-796.668785298716,-0.039183132104395196,384.18485202356754
2.86,-790.6853017496842,-0.019873695986906408,436.2599868506537
2.88,-780.6797686424205,-0.011473876494028165,408.0064612762193
2.9,-776.068655517088,0.008730314582740888,384.12553093965886
2.92,-772.7334363792554,-0.0024048060473338745,407.3758939850256
2.94,-763.9250581390617,-0.02703977281555841,380.5969967553589
2.96,-745.8729516293365,0.0016639112940188556,366.79387288778105
2.98,-741.4665294365302,0.007982334702921666,379.57191474478196
3.0,-734.3253996852388,-0.0153226605907884,365.25087262049783
3.02,-725.9620288849213,-0.016290024531572266,351.5342428047451
3.04,-720.4428912742203,-0.014187644371373426,348.4796388312597
3.06,-714.9794339774813,-0.0213353860304621,338.47433233512515
3.08,-708.8564225997613,0.01420476936384065,354.25176900241917
3.1,-698.0163714270282,-0.009540138458400453,337.14534178881706
3.12,-692.7563442424386,0.005663842563852257,321.8488737455621
3.14,-685.3412820264284,-0.0083296801934376,307.4916730120917
3.16,-686.6711811533991,0.00859397399220899,310.7390400458315
