epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.41334,2.7551,6.4623,1.23927,0.55073,0.46641,0.47569,0.16352,2.34623,2.09845,1.13716,0.000658915,0.000658915,0.000658915
2,14.9792,2.37271,1.63848,1.09139,0.703,0.49556,0.57961,0.21455,2.2015,1.87546,1.11856,0.00131902,0.00131902,0.00131902
3,22.383,2.29277,1.54088,1.07319,0.68385,0.56475,0.60945,0.21838,2.20804,1.64287,1.10034,0.00197252,0.00197252,0.00197252
4,29.7716,2.28966,1.47227,1.06502,0.64639,0.60583,0.62786,0.21783,2.17862,1.40599,1.07742,0.0019703,0.0019703,0.0019703
5,37.1914,2.22715,1.35792,1.05046,0.70576,0.61977,0.67021,0.25992,2.08955,1.23529,1.07732,0.0019604,0.0019604,0.0019604
6,44.588,2.22115,1.34311,1.05432,0.78184,0.65779,0.71801,0.28942,2.04563,1.19735,1.074,0.0019505,0.0019505,0.0019505
7,52.1715,2.16537,1.30808,1.02945,0.71293,0.65399,0.70202,0.2709,2.0255,1.15744,1.05123,0.0019406,0.0019406,0.0019406
8,59.2356,2.18214,1.30583,1.04301,0.75411,0.64512,0.68991,0.26807,2.07414,1.2175,1.07075,0.0019307,0.0019307,0.0019307
9,66.3198,2.12558,1.26477,1.01999,0.73484,0.62991,0.6963,0.27666,1.96961,1.1583,1.04491,0.0019208,0.0019208,0.0019208
10,73.3913,2.09227,1.23323,1.01421,0.78969,0.6616,0.71839,0.28205,2.07259,1.14017,1.06106,0.0019109,0.0019109,0.0019109
11,80.4684,2.0966,1.2355,1.01212,0.78144,0.68568,0.75004,0.29518,1.98974,1.14617,1.04579,0.001901,0.001901,0.001901
12,87.8807,2.08695,1.2331,1.01109,0.73725,0.64725,0.72283,0.28374,2.01483,1.15777,1.05715,0.0018911,0.0018911,0.0018911
13,95.0446,2.07873,1.22233,1.00322,0.7699,0.67934,0.74032,0.2941,2.03619,1.13616,1.05681,0.0018812,0.0018812,0.0018812
14,102.118,2.06745,1.20549,1.00297,0.79702,0.66413,0.74242,0.31034,1.95545,1.11262,1.03897,0.0018713,0.0018713,0.0018713
15,109.472,2.03355,1.20763,1.00742,0.76994,0.68714,0.75532,0.30111,2.02466,1.10973,1.057,0.0018614,0.0018614,0.0018614
16,116.533,2.05469,1.19481,1.0027,0.78662,0.69328,0.76258,0.31555,1.92212,1.09163,1.03693,0.0018515,0.0018515,0.0018515
17,123.937,2.02839,1.17518,0.9988,0.78461,0.68188,0.73804,0.30164,1.99528,1.10637,1.07162,0.0018416,0.0018416,0.0018416
18,131.189,2.05631,1.1828,1.00062,0.7459,0.69582,0.74728,0.3156,1.93281,1.1159,1.03672,0.0018317,0.0018317,0.0018317
19,138.226,2.03594,1.19392,0.99122,0.78573,0.71573,0.78224,0.33019,1.95594,1.08047,1.04126,0.0018218,0.0018218,0.0018218
