epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.97404,3.25374,8.18588,1.15429,0.41223,0.37262,0.29542,0.09173,2.86171,1.9649,1.02705,0.000658915,0.000658915,0.000658915
2,8.20095,2.89728,2.07738,1.00009,0.4593,0.42332,0.37329,0.11342,2.60494,1.60856,0.97624,0.00131902,0.00131902,0.00131902
3,12.2329,2.79337,1.94852,0.98458,0.42666,0.42079,0.32403,0.09581,2.70506,1.83406,0.99302,0.00197252,0.00197252,0.00197252
4,15.8768,2.81246,1.84377,0.96644,0.51093,0.39855,0.3653,0.11627,2.64945,1.51426,0.97963,0.0019703,0.0019703,0.0019703
5,19.8693,2.69028,1.76077,0.95042,0.48418,0.44233,0.40005,0.12195,2.64356,1.56237,0.97666,0.0019604,0.0019604,0.0019604
6,23.9694,2.67466,1.75305,0.94295,0.54174,0.45098,0.45327,0.15256,2.50179,1.49378,0.971,0.0019505,0.0019505,0.0019505
7,28.1683,2.64799,1.68709,0.94498,0.55623,0.42966,0.43246,0.13322,2.46016,1.43679,0.96138,0.0019406,0.0019406,0.0019406
8,31.8965,2.64959,1.66731,0.94652,0.59405,0.4512,0.45314,0.15084,2.42787,1.40562,0.95225,0.0019307,0.0019307,0.0019307
9,35.5779,2.56903,1.6363,0.92525,0.61153,0.46008,0.46303,0.15468,2.43278,1.42133,0.95557,0.0019208,0.0019208,0.0019208
10,39.6468,2.5627,1.65689,0.92887,0.55628,0.4163,0.42035,0.13164,2.57201,1.45736,0.97252,0.0019109,0.0019109,0.0019109
11,43.4347,2.53971,1.58624,0.92132,0.60006,0.48923,0.49816,0.17151,2.36941,1.35499,0.94281,0.001901,0.001901,0.001901
12,47.495,2.50599,1.57181,0.91704,0.61531,0.48923,0.49763,0.17485,2.33849,1.37529,0.94384,0.0018911,0.0018911,0.0018911
13,51.6718,2.52708,1.59634,0.91712,0.59072,0.47562,0.47525,0.15657,2.41312,1.41611,0.94706,0.0018812,0.0018812,0.0018812
14,55.3367,2.53768,1.59636,0.91733,0.56819,0.47402,0.45078,0.14506,2.49589,1.36226,0.95396,0.0018713,0.0018713,0.0018713
15,59.0592,2.4781,1.49849,0.9223,0.60465,0.45881,0.47323,0.16977,2.366,1.32348,0.94225,0.0018614,0.0018614,0.0018614
16,62.7022,2.46114,1.54252,0.91025,0.64963,0.52091,0.53301,0.18088,2.43059,1.36923,0.94082,0.0018515,0.0018515,0.0018515
17,66.7076,2.47853,1.54637,0.90625,0.57991,0.50317,0.49778,0.16448,2.41082,1.35444,0.93037,0.0018416,0.0018416,0.0018416
18,70.3641,2.46745,1.5164,0.9028,0.64049,0.51838,0.53119,0.19143,2.34636,1.28489,0.9291,0.0018317,0.0018317,0.0018317
19,74.5777,2.48595,1.56785,0.91069,0.60406,0.4943,0.50936,0.17619,2.29015,1.32712,0.92293,0.0018218,0.0018218,0.0018218
20,78.3468,2.40737,1.48413,0.91054,0.62091,0.51711,0.52186,0.18705,2.29515,1.30856,0.92209,0.0018119,0.0018119,0.0018119
21,82.1407,2.40941,1.50451,0.89937,0.62424,0.51458,0.51691,0.19061,2.3146,1.29003,0.92029,0.001802,0.001802,0.001802
22,85.9011,2.41884,1.48215,0.90588,0.65716,0.5019,0.52651,0.18746,2.33417,1.30052,0.93503,0.0017921,0.0017921,0.0017921
23,89.7179,2.41979,1.49029,0.90619,0.63188,0.51838,0.53699,0.18457,2.33908,1.33604,0.91402,0.0017822,0.0017822,0.0017822
24,93.3852,2.38845,1.48472,0.9058,0.63311,0.48289,0.49059,0.16804,2.36343,1.34938,0.93153,0.0017723,0.0017723,0.0017723
25,97.13,2.41503,1.4902,0.90825,0.63965,0.51458,0.51791,0.172,2.32159,1.30362,0.92615,0.0017624,0.0017624,0.0017624
26,100.768,2.3862,1.4565,0.89184,0.6613,0.49556,0.5239,0.18243,2.30017,1.3005,0.92843,0.0017525,0.0017525,0.0017525
27,104.444,2.35801,1.45074,0.89965,0.61608,0.49937,0.49551,0.16837,2.37116,1.32343,0.93038,0.0017426,0.0017426,0.0017426
28,108.168,2.42404,1.46588,0.90534,0.65769,0.5019,0.53202,0.18763,2.2871,1.27839,0.92273,0.0017327,0.0017327,0.0017327
29,111.855,2.3779,1.46703,0.89492,0.63322,0.51584,0.5166,0.18056,2.31872,1.30326,0.92586,0.0017228,0.0017228,0.0017228
30,115.49,2.40741,1.45735,0.89693,0.64634,0.52345,0.53816,0.18682,2.26344,1.2389,0.92449,0.0017129,0.0017129,0.0017129
31,119.273,2.31858,1.42839,0.89912,0.67283,0.53232,0.56155,0.19571,2.23911,1.25012,0.91749,0.001703,0.001703,0.001703
32,123.361,2.34293,1.43691,0.89613,0.63536,0.53739,0.54705,0.18995,2.24979,1.23463,0.91933,0.0016931,0.0016931,0.0016931
33,127.151,2.3077,1.43103,0.88562,0.64894,0.50372,0.52019,0.18289,2.29627,1.26149,0.92739,0.0016832,0.0016832,0.0016832
34,130.824,2.31571,1.42104,0.89531,0.63224,0.4981,0.5117,0.18111,2.27782,1.27602,0.93295,0.0016733,0.0016733,0.0016733
35,134.538,2.37348,1.43866,0.89427,0.65594,0.51077,0.53124,0.19194,2.23898,1.26083,0.92078,0.0016634,0.0016634,0.0016634
36,138.225,2.28673,1.39552,0.88168,0.66771,0.54626,0.56726,0.20474,2.23839,1.24591,0.91959,0.0016535,0.0016535,0.0016535
37,142.396,2.31425,1.40186,0.88821,0.6164,0.53612,0.54325,0.1926,2.26685,1.24247,0.92274,0.0016436,0.0016436,0.0016436
38,146.077,2.28682,1.39007,0.8898,0.71453,0.52978,0.57322,0.20022,2.24454,1.25559,0.9133,0.0016337,0.0016337,0.0016337
39,149.847,2.3106,1.39567,0.89353,0.66025,0.53694,0.55731,0.19951,2.23846,1.24683,0.91597,0.0016238,0.0016238,0.0016238
40,153.584,2.32401,1.38873,0.89515,0.68968,0.51331,0.55833,0.20622,2.21694,1.21145,0.91948,0.0016139,0.0016139,0.0016139
41,157.618,2.2683,1.40269,0.88102,0.66146,0.54626,0.55928,0.20276,2.20518,1.23253,0.92271,0.001604,0.001604,0.001604
42,161.398,2.33898,1.41519,0.89076,0.67075,0.53992,0.57013,0.20639,2.21942,1.23196,0.91776,0.0015941,0.0015941,0.0015941
43,165.61,2.27768,1.37794,0.89534,0.67402,0.5713,0.57369,0.19636,2.2325,1.23798,0.92168,0.0015842,0.0015842,0.0015842
44,169.293,2.29528,1.3788,0.8843,0.69918,0.52345,0.5806,0.21127,2.17027,1.24435,0.9105,0.0015743,0.0015743,0.0015743
45,173.379,2.28039,1.33262,0.88331,0.69408,0.52598,0.56423,0.20038,2.27526,1.24668,0.90969,0.0015644,0.0015644,0.0015644
46,177.088,2.29456,1.3675,0.88066,0.70128,0.54246,0.57877,0.19884,2.22685,1.22484,0.91279,0.0015545,0.0015545,0.0015545
