epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.21585,2.48276,15.5365,1.38377,0.01821,0.68616,0.01557,0.00708,1.78967,55.4493,1.0702,0.0004,0.0004,0.0004
2,4.69577,1.99921,2.64061,1.13118,0.44899,0.50442,0.39848,0.15338,1.83991,7.28764,1.06082,0.000815941,0.000815941,0.000815941
3,7.20054,1.9223,1.53386,1.22339,0.66131,0.63935,0.72087,0.3385,1.67102,1.40058,1.07082,0.00122772,0.00122772,0.00122772
4,9.67657,1.79937,1.42482,1.14781,0.5568,0.70796,0.58586,0.22431,1.96421,2.2415,1.18888,0.00163535,0.00163535,0.00163535
5,11.7878,2.02935,1.39173,1.16996,0.6701,0.57522,0.6196,0.28393,1.95809,2.22617,1.14036,0.0019604,0.0019604,0.0019604
6,13.914,1.94827,1.32951,1.24591,0.57307,0.65335,0.6073,0.27645,1.8218,1.81224,1.19498,0.0019505,0.0019505,0.0019505
7,16.0109,1.88437,1.26508,1.23034,0.59666,0.68075,0.68329,0.30727,1.78551,1.35072,1.10307,0.0019406,0.0019406,0.0019406
8,18.1372,1.726,1.11764,1.14992,0.72286,0.75221,0.77421,0.36668,1.72494,1.09792,1.12822,0.0019307,0.0019307,0.0019307
9,20.6375,1.66825,1.08672,1.12543,0.71344,0.73451,0.79941,0.41837,1.56411,1.02397,1.08858,0.0019208,0.0019208,0.0019208
10,23.0825,1.73265,1.08741,1.15436,0.74507,0.72566,0.77947,0.38039,1.57002,1.00867,1.04673,0.0019109,0.0019109,0.0019109
11,25.1891,1.64938,1.05619,1.1021,0.73872,0.72558,0.78099,0.42045,1.67988,0.9984,1.06152,0.001901,0.001901,0.001901
12,27.6539,1.66292,1.03108,1.14539,0.69209,0.82301,0.81404,0.43031,1.55559,0.96702,1.04153,0.0018911,0.0018911,0.0018911
13,30.1081,1.66992,1.06193,1.12798,0.72723,0.77876,0.81259,0.45441,1.53235,0.99556,1.06207,0.0018812,0.0018812,0.0018812
14,32.571,1.53391,0.94942,1.06102,0.78533,0.84956,0.88348,0.52814,1.44001,0.94436,1.00142,0.0018713,0.0018713,0.0018713
15,35.0246,1.50048,0.99731,1.03763,0.85097,0.758,0.83463,0.44719,1.51897,0.94762,0.99896,0.0018614,0.0018614,0.0018614
16,37.1475,1.52118,0.96638,1.0664,0.74763,0.80531,0.86649,0.47436,1.47833,0.87297,1.01021,0.0018515,0.0018515,0.0018515
17,39.2464,1.48254,0.93471,1.06941,0.85885,0.75389,0.89389,0.49659,1.45592,0.85263,0.99725,0.0018416,0.0018416,0.0018416
18,41.3707,1.46279,0.89601,1.06202,0.84515,0.73451,0.86695,0.48041,1.50755,0.8769,1.01767,0.0018317,0.0018317,0.0018317
19,43.4983,1.53947,0.95646,1.06067,0.87658,0.72566,0.84535,0.45071,1.59316,0.91578,1.02913,0.0018218,0.0018218,0.0018218
20,45.6196,1.46305,0.93024,1.06276,0.85505,0.73451,0.87357,0.47521,1.45352,0.83597,0.98154,0.0018119,0.0018119,0.0018119
21,47.7393,1.47508,0.87028,1.02767,0.86505,0.76106,0.89175,0.49043,1.49662,0.88491,0.98682,0.001802,0.001802,0.001802
22,49.8566,1.50457,0.94355,1.06033,0.77626,0.82903,0.89919,0.4716,1.46599,0.87011,0.98702,0.0017921,0.0017921,0.0017921
23,51.9779,1.44834,0.89441,1.03939,0.77188,0.89835,0.90596,0.49722,1.47219,0.85587,0.98025,0.0017822,0.0017822,0.0017822
24,54.11,1.39039,0.8568,1.01104,0.90755,0.78186,0.90594,0.5114,1.44317,0.83698,0.98572,0.0017723,0.0017723,0.0017723
25,56.2217,1.43628,0.84122,1.02072,0.88941,0.78292,0.89107,0.50588,1.37399,0.79106,0.9815,0.0017624,0.0017624,0.0017624
26,58.3379,1.37788,0.8278,1.0305,0.81938,0.8431,0.91061,0.49189,1.42023,0.79176,0.99632,0.0017525,0.0017525,0.0017525
27,60.4528,1.39392,0.88234,1.00568,0.78255,0.8599,0.90331,0.51161,1.37142,0.78249,0.97586,0.0017426,0.0017426,0.0017426
28,62.5772,1.38299,0.8837,1.01166,0.78438,0.81416,0.87244,0.46112,1.55408,0.89664,1.01115,0.0017327,0.0017327,0.0017327
29,64.6817,1.41006,0.9132,1.02491,0.81501,0.81877,0.88904,0.50294,1.39092,0.81818,0.97564,0.0017228,0.0017228,0.0017228
30,66.7915,1.3988,0.85414,1.01041,0.80988,0.82934,0.89883,0.51463,1.4135,0.83054,0.97223,0.0017129,0.0017129,0.0017129
31,68.8911,1.41925,0.89306,0.96151,0.83571,0.86726,0.89975,0.53264,1.3316,0.82155,0.96374,0.001703,0.001703,0.001703
32,71.3591,1.33515,0.82454,0.99691,0.79075,0.79646,0.88641,0.53218,1.34151,0.80209,0.97407,0.0016931,0.0016931,0.0016931
33,73.463,1.31283,0.77401,0.96474,0.87435,0.86215,0.93545,0.54808,1.34855,0.79801,0.95711,0.0016832,0.0016832,0.0016832
34,75.9448,1.37155,0.83206,0.98588,0.89498,0.82963,0.92675,0.55048,1.3342,0.78565,0.95689,0.0016733,0.0016733,0.0016733
35,78.4338,1.31588,0.82619,0.96734,0.88231,0.79613,0.90366,0.53378,1.30075,0.8106,0.97284,0.0016634,0.0016634,0.0016634
36,80.5711,1.35693,0.83556,0.98672,0.91139,0.79646,0.8997,0.5123,1.318,0.81048,0.99277,0.0016535,0.0016535,0.0016535
37,82.7197,1.34366,0.82634,1.00273,0.88814,0.84318,0.92843,0.53918,1.32408,0.78308,0.94778,0.0016436,0.0016436,0.0016436
38,84.833,1.3165,0.7975,0.98825,0.87918,0.77278,0.90471,0.51486,1.40439,0.78584,0.97667,0.0016337,0.0016337,0.0016337
39,86.9531,1.28963,0.85405,0.97038,0.83219,0.84956,0.91255,0.53165,1.29172,0.7623,0.97582,0.0016238,0.0016238,0.0016238
40,89.0844,1.26708,0.81693,0.98247,0.82087,0.88496,0.93893,0.54409,1.37466,0.73196,0.98233,0.0016139,0.0016139,0.0016139
41,91.2138,1.341,0.79621,1.01358,0.8335,0.84956,0.91643,0.57427,1.29772,0.7525,0.94935,0.001604,0.001604,0.001604
