epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.39617,2.98347,15.871,1.40667,0.02129,0.31858,0.01338,0.00514,2.30309,52.2067,0.97567,0.0004,0.0004,0.0004
2,3.06874,2.14817,2.53379,1.0768,0.02998,0.65487,0.0239,0.00859,2.15614,50.7066,1.07735,0.000815941,0.000815941,0.000815941
3,4.7364,2.07524,1.6539,1.14968,0.27421,0.54498,0.27504,0.0858,2.45059,5.73326,1.1764,0.00122772,0.00122772,0.00122772
4,6.39913,2.11897,1.53296,1.13099,0.42386,0.50442,0.37177,0.12301,2.36935,2.05231,1.14621,0.00163535,0.00163535,0.00163535
5,8.05827,2.30168,1.48229,1.10917,0.34562,0.53097,0.28656,0.0996,2.31884,1.55983,1.1368,0.0019604,0.0019604,0.0019604
6,9.35305,2.18953,1.47269,1.19022,0.5602,0.47788,0.46394,0.15858,2.42495,1.44747,1.30735,0.0019505,0.0019505,0.0019505
7,10.9933,2.15001,1.37371,1.14635,0.41003,0.4982,0.4455,0.1726,2.16319,1.31251,1.1477,0.0019406,0.0019406,0.0019406
8,12.6471,2.0792,1.31369,1.05799,0.47183,0.53097,0.46109,0.1998,2.03712,1.29276,1.09686,0.0019307,0.0019307,0.0019307
9,14.298,2.01495,1.27922,1.07741,0.54686,0.48673,0.52596,0.22613,1.92471,1.19401,1.02063,0.0019208,0.0019208,0.0019208
10,15.9197,1.93077,1.1773,1.1037,0.52145,0.55752,0.50606,0.22328,1.87384,1.17001,1.0217,0.0019109,0.0019109,0.0019109
11,17.2602,1.85969,1.12005,1.08586,0.50193,0.50835,0.46771,0.18865,2.21306,1.22059,1.07494,0.001901,0.001901,0.001901
12,18.5663,1.84595,1.168,1.07313,0.52567,0.60177,0.54658,0.21839,2.1033,1.1885,1.05411,0.0018911,0.0018911,0.0018911
13,19.9044,1.80969,1.12791,1.06334,0.71212,0.59108,0.66977,0.2843,1.88491,1.18546,1.00354,0.0018812,0.0018812,0.0018812
14,21.5638,1.78808,1.13166,1.00479,0.66117,0.57522,0.6546,0.31951,1.76142,1.06528,0.96788,0.0018713,0.0018713,0.0018713
15,23.1981,1.68884,1.0785,0.98217,0.66663,0.58397,0.62299,0.24774,1.927,1.21385,1.02253,0.0018614,0.0018614,0.0018614
16,24.5411,1.74144,1.07428,1.02863,0.59135,0.56637,0.62654,0.27902,1.89936,1.10458,1.02006,0.0018515,0.0018515,0.0018515
17,25.8909,1.82648,1.09036,1.05727,0.55884,0.57522,0.58004,0.26246,1.75348,1.11623,0.99239,0.0018416,0.0018416,0.0018416
18,27.1918,1.74549,1.05005,1.01276,0.74256,0.51327,0.62596,0.27422,1.91544,1.03682,0.98102,0.0018317,0.0018317,0.0018317
19,28.5046,1.67961,1.04011,1.0034,0.65751,0.57522,0.57555,0.24665,1.88272,1.09846,0.99112,0.0018218,0.0018218,0.0018218
20,29.8092,1.71789,1.0531,1.02162,0.66131,0.53982,0.61456,0.30193,1.72451,1.07659,0.98099,0.0018119,0.0018119,0.0018119
21,31.1127,1.60041,1.06884,0.96138,0.70937,0.61947,0.70308,0.34379,1.6725,1.00539,0.98575,0.001802,0.001802,0.001802
22,32.7562,1.63332,1.05299,0.9939,0.70393,0.62832,0.70207,0.33919,1.70052,1.01921,0.96127,0.0017921,0.0017921,0.0017921
23,34.0806,1.55877,0.97817,1.01537,0.73304,0.66372,0.71728,0.33874,1.67124,0.98718,0.96279,0.0017822,0.0017822,0.0017822
24,35.4118,1.62569,0.96343,1.00665,0.68444,0.69101,0.70343,0.34366,1.67162,0.99498,0.95431,0.0017723,0.0017723,0.0017723
25,36.7158,1.65506,0.99369,0.99817,0.74744,0.54867,0.66183,0.31902,1.64435,1.03766,0.9619,0.0017624,0.0017624,0.0017624
26,38.0253,1.55968,0.93266,0.97591,0.69607,0.61947,0.69352,0.34018,1.68881,0.99795,0.96332,0.0017525,0.0017525,0.0017525
27,39.301,1.63198,0.95936,0.91283,0.62743,0.70045,0.69457,0.31359,1.7601,0.99349,0.94882,0.0017426,0.0017426,0.0017426
28,40.6061,1.52564,0.95844,0.95697,0.66423,0.52212,0.60803,0.27793,1.78542,1.01725,0.9829,0.0017327,0.0017327,0.0017327
29,41.9057,1.67612,0.98312,0.99625,0.74682,0.65487,0.70835,0.34878,1.74798,0.9473,0.95257,0.0017228,0.0017228,0.0017228
30,43.5506,1.55941,0.89394,0.95366,0.74086,0.55662,0.67473,0.32492,1.6969,0.9708,0.96492,0.0017129,0.0017129,0.0017129
31,44.8353,1.6986,0.93758,0.95771,0.62269,0.61342,0.60525,0.2784,1.69696,0.92394,0.98268,0.001703,0.001703,0.001703
32,46.1649,1.50167,0.87529,0.95343,0.64492,0.64294,0.67215,0.34597,1.52594,0.90094,0.93318,0.0016931,0.0016931,0.0016931
33,47.4943,1.50182,0.85955,0.92311,0.74863,0.61947,0.71849,0.36233,1.54983,0.87389,0.94507,0.0016832,0.0016832,0.0016832
34,49.1366,1.49112,0.88419,0.95903,0.73921,0.67729,0.72594,0.36277,1.57207,0.87113,0.93399,0.0016733,0.0016733,0.0016733
35,50.7614,1.5606,0.95427,0.90558,0.67789,0.68909,0.68917,0.34892,1.62508,0.90746,0.94238,0.0016634,0.0016634,0.0016634
36,52.074,1.63135,0.92815,0.96041,0.77092,0.67257,0.76455,0.3389,1.77977,0.94035,0.947,0.0016535,0.0016535,0.0016535
37,53.3817,1.469,0.92571,0.96791,0.63526,0.70796,0.73203,0.38664,1.57222,0.90913,0.92947,0.0016436,0.0016436,0.0016436
38,55.0548,1.5419,0.91485,0.94431,0.68299,0.66372,0.70486,0.34302,1.67076,0.89913,0.9191,0.0016337,0.0016337,0.0016337
39,56.3673,1.553,0.94356,0.93008,0.76137,0.67768,0.72046,0.35679,1.63761,0.86156,0.93197,0.0016238,0.0016238,0.0016238
40,57.7146,1.43968,0.86992,0.95054,0.73898,0.72656,0.7696,0.39708,1.43713,0.84742,0.90458,0.0016139,0.0016139,0.0016139
41,59.3924,1.40917,0.87972,0.97561,0.79668,0.65487,0.75181,0.38823,1.47892,0.85642,0.9263,0.001604,0.001604,0.001604
42,60.7002,1.44739,0.83925,0.8993,0.68173,0.61947,0.65532,0.32384,1.71024,0.91377,0.94657,0.0015941,0.0015941,0.0015941
43,61.9905,1.41305,0.85576,0.92752,0.79188,0.60613,0.71512,0.38378,1.53843,0.87287,0.93042,0.0015842,0.0015842,0.0015842
44,63.2771,1.55876,0.84265,0.93689,0.7131,0.67257,0.73428,0.3859,1.51619,0.83688,0.91335,0.0015743,0.0015743,0.0015743
45,64.5898,1.46339,0.81194,0.90504,0.74333,0.66636,0.72759,0.34479,1.7405,0.84745,0.90498,0.0015644,0.0015644,0.0015644
46,66.0125,1.58239,0.87257,0.94118,0.79004,0.66372,0.74388,0.393,1.50923,0.84982,0.91523,0.0015545,0.0015545,0.0015545
47,67.3083,1.33685,0.79212,0.87326,0.66325,0.62832,0.66787,0.35265,1.55594,0.88069,0.92031,0.0015446,0.0015446,0.0015446
48,68.6272,1.3975,0.86741,0.92167,0.82403,0.66306,0.75198,0.39804,1.55324,0.85983,0.90577,0.0015347,0.0015347,0.0015347
49,69.9107,1.41384,0.85285,0.96343,0.75711,0.64602,0.73701,0.3937,1.5307,0.86054,0.90238,0.0015248,0.0015248,0.0015248
50,71.1916,1.42747,0.87839,0.93831,0.7596,0.72566,0.77457,0.3999,1.5299,0.85129,0.9009,0.0015149,0.0015149,0.0015149
51,72.8099,1.4835,0.88748,0.95926,0.83389,0.66639,0.78264,0.43479,1.53118,0.84723,0.9214,0.001505,0.001505,0.001505
52,74.4403,1.33181,0.83389,0.92966,0.78622,0.68347,0.756,0.4265,1.41837,0.84235,0.89477,0.0014951,0.0014951,0.0014951
53,75.7843,1.33372,0.85619,0.89786,0.84551,0.62965,0.7612,0.39377,1.52208,0.82804,0.90511,0.0014852,0.0014852,0.0014852
54,77.1251,1.33267,0.803,0.89516,0.77396,0.65487,0.73459,0.35549,1.58501,0.89855,0.9022,0.0014753,0.0014753,0.0014753
