epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.56956,2.48276,15.5365,1.38377,0.01821,0.68616,0.01557,0.00708,1.78967,55.4493,1.0702,0.0004,0.0004,0.0004
2,12.4355,2.0305,2.67446,1.14558,0.43854,0.43363,0.42025,0.17368,1.77755,7.80051,1.08255,0.000817971,0.000817971,0.000817971
3,19.472,1.87879,1.56098,1.19303,0.42986,0.64054,0.50362,0.21717,1.87744,1.60412,1.14616,0.00123386,0.00123386,0.00123386
4,22.0337,1.78065,1.4455,1.12539,0.63056,0.45315,0.52146,0.18976,1.9294,1.97435,1.24999,0.00164767,0.00164767,0.00164767
5,28.5443,1.90569,1.43571,1.17908,0.56384,0.66353,0.67118,0.28463,1.85627,2.04774,1.15464,0.0019802,0.0019802,0.0019802
6,34.1646,1.86659,1.39194,1.22378,0.58521,0.70796,0.67355,0.30677,1.93239,1.54614,1.16703,0.00197525,0.00197525,0.00197525
7,39.766,2.01549,1.32813,1.26923,0.72804,0.64602,0.74754,0.3282,1.90154,1.43919,1.20987,0.0019703,0.0019703,0.0019703
8,47.0077,1.83522,1.18687,1.16823,0.52093,0.66398,0.55224,0.24287,1.82403,1.23398,1.12183,0.00196535,0.00196535,0.00196535
9,49.3815,1.71325,1.09321,1.13108,0.75757,0.73451,0.79732,0.39963,1.59879,1.07101,1.06735,0.0019604,0.0019604,0.0019604
10,56.4857,1.6989,1.07191,1.13373,0.67454,0.73451,0.77621,0.39277,1.70772,1.04036,1.03838,0.00195545,0.00195545,0.00195545
11,61.7113,1.67123,1.00276,1.10995,0.75587,0.69912,0.82431,0.43937,1.53859,0.95028,1.02955,0.0019505,0.0019505,0.0019505
12,64.7722,1.66936,1.04808,1.15634,0.70561,0.74238,0.75463,0.34071,1.73509,1.01174,1.07093,0.00194555,0.00194555,0.00194555
13,71.2467,1.71883,1.14159,1.1224,0.81535,0.78761,0.8359,0.44847,1.5286,1.09655,1.05151,0.0019406,0.0019406,0.0019406
14,76.3263,1.59907,1.06076,1.08171,0.77032,0.76106,0.83848,0.45092,1.56984,0.98804,1.04571,0.00193565,0.00193565,0.00193565
15,84.754,1.48904,0.97465,1.04341,0.79861,0.76991,0.8608,0.47853,1.53631,0.93941,1.03673,0.0019307,0.0019307,0.0019307
16,90.3271,1.49732,0.96869,1.07616,0.74247,0.85841,0.87467,0.44994,1.53509,0.90911,1.03751,0.00192575,0.00192575,0.00192575
17,92.4931,1.55309,0.97463,1.08577,0.78627,0.74879,0.85284,0.48277,1.47644,0.92497,1.01002,0.0019208,0.0019208,0.0019208
18,99.5076,1.5032,0.93674,1.05808,0.80171,0.69027,0.84427,0.46645,1.52534,0.87637,1.04508,0.00191585,0.00191585,0.00191585
19,104.608,1.58973,0.99019,1.08408,0.87375,0.78761,0.88538,0.45851,1.55929,0.9397,1.02161,0.0019109,0.0019109,0.0019109
20,107.324,1.49568,0.91899,1.06231,0.70952,0.79646,0.84071,0.45521,1.57218,0.91603,0.99497,0.00190595,0.00190595,0.00190595
21,113.968,1.44786,0.88307,1.02099,0.84995,0.75193,0.87674,0.45419,1.5535,0.8783,1.01299,0.001901,0.001901,0.001901
22,118.877,1.5054,0.8949,1.0513,0.78553,0.84275,0.89576,0.50439,1.41687,0.81935,1.0062,0.00189605,0.00189605,0.00189605
23,127.347,1.43406,0.85831,1.03278,0.82612,0.76991,0.85473,0.48021,1.45482,0.8672,0.99773,0.0018911,0.0018911,0.0018911
24,133.742,1.4207,0.87544,1.02844,0.84395,0.71681,0.8519,0.47063,1.48608,0.86178,1.00306,0.00188615,0.00188615,0.00188615
25,135.918,1.46463,0.88379,1.04109,0.83283,0.76106,0.85929,0.47947,1.44955,0.89077,0.98936,0.0018812,0.0018812,0.0018812
26,142.366,1.4037,0.84474,1.03505,0.87685,0.75612,0.90183,0.50495,1.4014,0.83447,1.00129,0.00187625,0.00187625,0.00187625
27,148.091,1.40345,0.88813,1.00247,0.832,0.73451,0.87216,0.46701,1.46567,0.84424,0.9884,0.0018713,0.0018713,0.0018713
28,150.275,1.57882,0.91675,1.04579,0.79863,0.79646,0.90149,0.44361,1.62588,0.86713,1.01467,0.00186635,0.00186635,0.00186635
29,157.107,1.45945,0.90673,1.04755,0.88869,0.84783,0.91483,0.51814,1.45516,0.86237,0.98662,0.0018614,0.0018614,0.0018614
30,162.429,1.48817,0.89174,1.01866,0.74823,0.78761,0.84243,0.45004,1.54473,0.86867,0.98352,0.00185645,0.00185645,0.00185645
31,164.641,1.42133,0.91016,0.99132,0.77356,0.84071,0.88549,0.52696,1.33284,0.80794,0.96797,0.0018515,0.0018515,0.0018515
32,171.539,1.26771,0.82359,0.99542,0.76058,0.84342,0.87568,0.47291,1.46549,0.85884,0.98205,0.00184655,0.00184655,0.00184655
33,176.645,1.34706,0.83122,0.99326,0.83548,0.85387,0.92943,0.51181,1.43947,0.82562,0.98705,0.0018416,0.0018416,0.0018416
34,179.094,1.42561,0.8691,1.01504,0.85695,0.78761,0.91017,0.52558,1.41236,0.8431,0.99418,0.00183665,0.00183665,0.00183665
35,185.82,1.42521,0.89511,0.99004,0.80572,0.76991,0.87843,0.51882,1.36085,0.86824,0.99939,0.0018317,0.0018317,0.0018317
36,190.845,1.35101,0.88333,0.99048,0.75226,0.86726,0.90036,0.53251,1.31735,0.85152,0.9618,0.00182675,0.00182675,0.00182675
37,193.986,1.37088,0.89233,1.00685,0.73057,0.83186,0.87891,0.52631,1.36719,0.83944,0.9687,0.0018218,0.0018218,0.0018218
38,201.002,1.36373,0.85206,0.99248,0.89676,0.84557,0.91969,0.54621,1.35667,0.78596,0.97283,0.00181685,0.00181685,0.00181685
39,206.703,1.34971,0.84196,0.98398,0.82458,0.87355,0.89636,0.52482,1.40295,0.83036,0.96459,0.0018119,0.0018119,0.0018119
40,209.399,1.36122,0.87237,1.01831,0.83365,0.84956,0.88385,0.49051,1.43529,0.82676,0.99573,0.00180695,0.00180695,0.00180695
41,215.917,1.38883,0.88892,1.01915,0.88978,0.80531,0.89489,0.51582,1.32348,0.83274,0.97145,0.001802,0.001802,0.001802
42,220.98,1.36113,0.85777,0.99286,0.8903,0.71822,0.90956,0.52463,1.35315,0.83155,0.97019,0.00179705,0.00179705,0.00179705
43,223.685,1.34253,0.78812,0.98687,0.92156,0.83178,0.93155,0.52277,1.41948,0.81201,0.96203,0.0017921,0.0017921,0.0017921
44,230.344,1.303,0.78596,0.98315,0.80349,0.89381,0.90358,0.50791,1.43955,0.80074,0.99661,0.00178715,0.00178715,0.00178715
45,235.245,1.28551,0.79377,0.96802,0.91194,0.73316,0.89538,0.52386,1.34998,0.77457,0.98866,0.0017822,0.0017822,0.0017822
46,237.852,1.27307,0.7694,0.97072,0.7788,0.84123,0.90495,0.52305,1.34355,0.79641,0.96693,0.00177725,0.00177725,0.00177725
47,244.395,1.29997,0.78853,0.94161,0.86168,0.77876,0.8886,0.51237,1.41984,0.8154,1.00711,0.0017723,0.0017723,0.0017723
48,249.48,1.32187,0.80036,0.97447,0.81334,0.88689,0.91409,0.53492,1.38442,0.76478,0.98223,0.00176735,0.00176735,0.00176735
49,252.179,1.22098,0.81314,0.93289,0.89384,0.87611,0.93918,0.54702,1.37756,0.76079,0.9817,0.0017624,0.0017624,0.0017624
50,259.114,1.35326,0.83245,0.97485,0.80781,0.89271,0.90888,0.54738,1.30309,0.80642,0.97002,0.00175745,0.00175745,0.00175745
51,263.717,1.36193,0.83337,1.00071,0.84569,0.87303,0.93271,0.54161,1.36268,0.77157,0.97981,0.0017525,0.0017525,0.0017525
52,269.777,1.27363,0.78509,0.96471,0.82495,0.87611,0.92358,0.54126,1.33056,0.74851,0.95478,0.00174755,0.00174755,0.00174755
53,276.301,1.31416,0.79721,0.94975,0.85429,0.86726,0.93089,0.52532,1.3565,0.8065,0.95385,0.0017426,0.0017426,0.0017426
54,278.857,1.30812,0.81062,0.96673,0.95289,0.75221,0.90006,0.49563,1.42351,0.80844,0.97385,0.00173765,0.00173765,0.00173765
